dataset,sample_idx,image_path,mask_path,dice,miou,pa,image_shape,pred_mean_area,pred_total_area,pred_count,pred_mean_perimeter,pred_mean_eccentricity,pred_mean_form_factor,pred_mean_aspect_ratio,pred_mean_solidity,gt_mean_area,gt_total_area,gt_count,gt_mean_perimeter,gt_mean_eccentricity,gt_mean_form_factor,gt_mean_aspect_ratio,gt_mean_solidity
8698d4rk657i8N07u781_3D,141,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/images/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-0_277_0-314_0-357.tiff,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/masks/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-0_277_0-314_0-357.tiff,0.10739503126231599,0.05674455740299246,0.7259629966636336,"(314, 357)",22.703595011005135,30945.0,1363,15.38212993558627,0.7326616001344127,3.5823304486817453,2.529598029230825,0.8270890481484507,247.85714285714286,3470.0,14,55.31298697985857,0.5512055297826323,0.949527284535715,1.3259983138910285,0.9483886204246298
8698d4rk657i8N07u781_3D,142,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/images/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-0_289_0-314_0-357.tiff,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/masks/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-0_289_0-314_0-357.tiff,0.0941872056961195,0.04942101659213517,0.7649289014969045,"(314, 357)",27.33877551020408,26792.0,980,18.637972871118688,0.734890800744124,3.351602171357818,2.547327502564912,0.8172913238267144,328.42857142857144,2299.0,7,59.28847656910801,0.641783581023187,0.9811571927797055,1.3417054799871546,0.9532569220293093
8698d4rk657i8N07u781_3D,143,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/images/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-0_298_0-314_0-357.tiff,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/masks/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-0_298_0-314_0-357.tiff,0.027882971982040854,0.014138599088667417,0.7412353476422416,"(314, 357)",27.962926829268294,28662.0,1025,17.60708115348121,0.7236111695250408,3.4502400170011893,2.6036906844646572,0.824451483868819,588.5,1177.0,2,102.54772721475248,0.8183998052729584,0.7262716331685874,1.7568505883859422,0.8860655737704919
8698d4rk657i8N07u781_3D,144,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/images/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-0_323_0-314_0-357.tiff,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/masks/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-0_323_0-314_0-357.tiff,0.039772127912239046,0.020289543134369002,0.8376063801316705,"(314, 357)",29.060162601626015,17872.0,615,18.94057496488599,0.7449460706635945,3.569878605459914,2.54199535557078,0.8203340610831565,362.0,1086.0,3,64.44603170554143,0.35091730404198235,0.9943353526074251,1.0889360094679608,0.9674508074936669
8698d4rk657i8N07u781_3D,145,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/images/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_000_0-336_0-357.tiff,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/masks/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_000_0-336_0-357.tiff,0.0005284016292149536,0.0002642706571412848,0.8107743097238895,"(336, 357)",22.002912621359222,22663.0,1030,13.999471723218141,0.72976012267596,4.124335700349695,2.632605527711732,0.828942866289398,47.0,47.0,1,22.48528137423857,0.5295589880103878,1.1681835028404202,1.1788656057938147,0.9791666666666666
8698d4rk657i8N07u781_3D,146,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/images/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_009_0-336_0-357.tiff,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/masks/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_009_0-336_0-357.tiff,0.020624732605022476,0.010419819317289126,0.8091903428037882,"(336, 357)",20.729559748427672,23072.0,1113,13.503028871965485,0.7275447872495616,3.564393940781962,2.5299447641972144,0.8352239887943499,149.0,298.0,2,40.26345596729059,0.5432372235977868,1.0116771133627047,1.3898312185907469,0.9629502963976289
8698d4rk657i8N07u781_3D,147,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/images/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_014_0-336_0-357.tiff,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/masks/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_014_0-336_0-357.tiff,0.018058121996553916,0.009111327753141869,0.8050720288115246,"(336, 357)",19.907234042553192,23391.0,1175,13.31959398988357,0.7439544025786655,3.8170099425021107,2.6189950129461272,0.8233345897492005,210.5,421.0,2,54.79898987322333,0.5678898403184504,0.885982171611115,1.7113129593657224,0.9519723360655737
8698d4rk657i8N07u781_3D,148,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/images/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_032_0-336_0-357.tiff,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/masks/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_032_0-336_0-357.tiff,0.025693166811087662,0.013013765849883473,0.748357676403895,"(336, 357)",21.619013581129376,30245.0,1399,14.82138836513057,0.7216940086376561,3.830866546535705,2.528020287959571,0.8286328616971581,245.33333333333334,736.0,3,55.731986497631105,0.46802180206867067,0.9886163786608422,1.1339582882839627,0.9679557157818027
8698d4rk657i8N07u781_3D,149,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/images/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_054_0-336_0-357.tiff,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/masks/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_054_0-336_0-357.tiff,0.038336165852998184,0.019542678624640174,0.7122432306255836,"(336, 357)",21.16870415647922,34632.0,1636,15.412215451685386,0.7351392143501876,3.613999867049808,2.540823339995078,0.8267877104386334,252.2,1261.0,5,55.4558441227157,0.43659464933911957,0.9993320466541693,1.133994357146996,0.9692507074560645
8698d4rk657i8N07u781_3D,150,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/images/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_068_0-336_0-357.tiff,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/masks/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_068_0-336_0-357.tiff,0.06839616866151255,0.03540900446327434,0.6829648526077098,"(336, 357)",22.729028364514182,37662.0,1657,16.927551720531664,0.7278962624857476,3.407453522728863,2.553627273362458,0.825440452823327,351.0,3159.0,9,66.61895939288632,0.5580556264318566,0.905538023499419,1.5693353533195236,0.9388472090182254
8698d4rk657i8N07u781_3D,151,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/images/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_088_0-336_0-357.tiff,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/masks/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_088_0-336_0-357.tiff,0.10669414784777131,0.05635336084086827,0.6603558089902628,"(336, 357)",24.14558472553699,40468.0,1676,18.12680482188393,0.738575201430836,3.264010988146649,2.544410875942088,0.8207607094304927,214.125,5139.0,24,51.01722279210816,0.6093112648033577,0.9305159494056192,1.669713644558308,0.9383682174656819
8698d4rk657i8N07u781_3D,152,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/images/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_100_0-336_0-357.tiff,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/masks/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_100_0-336_0-357.tiff,0.10800475868652268,0.05708511118218987,0.6499599839935974,"(336, 357)",21.88888888888889,41567.0,1899,16.349409173006347,0.7287759964865578,3.225529378428494,2.4794939081087115,0.8227097130385028,239.34782608695653,5505.0,23,59.47619357626071,0.6360806093635948,0.8893202375290751,1.7195109553337482,0.9204932875815025
8698d4rk657i8N07u781_3D,153,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/images/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_113_0-336_0-357.tiff,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/masks/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_113_0-336_0-357.tiff,0.11002916954551242,0.05821739033890425,0.654078297985861,"(336, 357)",20.82018442622951,40641.0,1952,16.014899243188843,0.723619904601738,3.3568680912626916,2.598022941190996,0.8331742666008105,221.59259259259258,5983.0,27,54.539995157480234,0.6740154626948935,0.9210245373192829,1.6357222324423137,0.9362393371136394
8698d4rk657i8N07u781_3D,154,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/images/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_125_0-336_0-357.tiff,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/masks/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_125_0-336_0-357.tiff,0.1439446650197695,0.0775540805954364,0.6512605042016807,"(336, 357)",23.295264623955433,41815.0,1795,18.112204630607312,0.7220371618581644,3.807652143249864,2.529983628647826,0.823890453517563,251.82142857142858,7051.0,28,56.84427820626924,0.6733314826035575,0.9292315801092004,1.5754380600498927,0.9394378133420964
